SCHEME	LOCII	TYPES	ALLELES	DATE	LOCII_NAMES
aactinomycetemcomitans	7	57	106	2020-05-24	adk atpG frdB mdh pgi recA zwf
abaumannii	7	3627	2031	2025-12-26	Oxf_gltA Oxf_gyrB Oxf_gdhB Oxf_recA Oxf_cpn60 Oxf_gpi Oxf_rpoD
abaumannii_2	7	3316	3611	2025-12-22	Pas_cpn60 Pas_fusA Pas_gltA Pas_pyrG Pas_recA Pas_rplB Pas_rpoB
achromobacter	7	623	1251	2025-12-09	nusA rpoB eno gltB lepA nuoL nrdA
actinobacillus	7	100	341	2025-08-24	adk atpG deoD mdh pgi recA zwf
aeromonas	6	3610	8931	2025-11-10	gyrB groL gltA metG ppsA recA
aparagallinarum	7	11	31	2023-11-01	pmi infB mdh adk deoD recA zwf
aphagocytophilum	8	206	452	2024-12-22	pheS glyA fumC mdh sucA dnaN atpA MLST_cluster
arcobacter	7	833	2248	2021-02-25	aspA atpA glnA gltA glyA pgm tkt
bbacilliformis	7	14	32	2017-06-17	ftsZ flaA ribC rnpB rpoB bvrR groEL
bcc	7	2516	6595	2025-12-17	atpD gltB gyrB recA lepA phaC trpB
bcereus	7	3396	2731	2025-12-19	glp gmk ilv pta pur pyc tpi
bfragilis	7	341	322	2025-11-12	dnaJ fusA groL prfA recA rpoB rprX
bhenselae	8	39	26	2025-05-22	16S batR ftsZ gltA groEL nlpD ribC rpoB
blicheniformis_14	6	59	71	2023-12-13	adk ccpA recF rpoB spo0A sucC
bordetella_3	7	118	122	2025-06-30	adk fumC glyA tyrB icd pepA pgm
borrelia	8	1219	2328	2025-12-11	clpA clpX nifS pepX pyrG recG rplB uvrA
bpseudomallei	7	2571	1093	2025-11-19	ace gltB gmhD lepA lipA narK ndh
brachyspira	7	40	173	2025-11-19	Bra_adh Bra_alp Bra_est Bra_gdh Bra_glp Bra_pgm Bra_thi
brachyspira_2	7	356	272	2025-11-19	Bhy_adh Bhy_alp Bhy_est Bhy_gdh Bhy_glpK Bhy_pgm Bhy_thi
